Reading...
(-1.2656470537185669, -0.94874018430709839, 2.2809998989105225)
(-1.2616857290267944, -0.94874018430709839, 2.2809998989105225)
(-1.257724404335022, -0.94874018430709839, 2.2809998989105225)
(-1.2537630796432495, -0.94874018430709839, 2.2809998989105225)
(-1.2585684061050415, -0.95539504289627075, 2.2969999313354492)
(-1.2545793056488037, -0.95539504289627075, 2.2969999313354492)
(-1.2505902051925659, -0.95539504289627075, 2.2969999313354492)
(-1.2547416687011719, -0.96163403987884521, 2.312000036239624)
(-1.250726580619812, -0.96163403987884521, 2.312000036239624)
(-1.238622784614563, -0.95539504289627075, 2.2969999313354492)
(-1.2346336841583252, -0.95539504289627075, 2.2969999313354492)
(-1.2306445837020874, -0.95539504289627075, 2.2969999313354492)
(-1.2266554832458496, -0.95539504289627075, 2.2969999313354492)
(-1.2471516132354736, -0.97452789545059204, 2.3429999351501465)
(-1.2430826425552368, -0.97452789545059204, 2.3429999351501465)
(-1.2390135526657104, -0.97452789545059204, 2.3429999351501465)
(-1.2433778047561646, -0.98118281364440918, 2.3589999675750732)
(-1.2392810583114624, -0.98118281364440918, 2.3589999675750732)
(-1.2440855503082275, -0.98825365304946899, 2.375999927520752)
(-1.2310874462127686, -0.98118281364440918, 2.3589999675750732)
(-1.2358329296112061, -0.98825365304946899, 2.375999927520752)
(-1.2228938341140747, -0.98118281364440918, 2.3589999675750732)
(-1.227580189704895, -0.98825365304946899, 2.375999927520752)
(-1.2404463291168213, -1.0019794702529907, 2.4089999198913574)
(-1.2275385856628418, -0.99490857124328613, 2.3919999599456787)
(-1.2233844995498657, -0.99490857124328613, 2.3919999599456787)
(-1.2192302942276001, -0.99490857124328613, 2.3919999599456787)
(-1.2237118482589722, -1.0019794702529907, 2.4089999198913574)
(-1.2195281982421875, -1.0019794702529907, 2.4089999198913574)
(-1.2153445482254028, -1.0019794702529907, 2.4089999198913574)
(-1.2111608982086182, -1.0019794702529907, 2.4089999198913574)
(-1.2069772481918335, -1.0019794702529907, 2.4089999198913574)
(-1.2112816572189331, -1.0090502500534058, 2.4260001182556152)
(-1.2070684432983398, -1.0090502500534058, 2.4260001182556152)
(-1.2028553485870361, -1.0090502500534058, 2.4260001182556152)
(-1.1986421346664429, -1.0090502500534058, 2.4260001182556152)
(-1.1944290399551392, -1.0090502500534058, 2.4260001182556152)
(-1.1902158260345459, -1.0090502500534058, 2.4260001182556152)
(-1.1776919364929199, -1.0019794702529907, 2.4089999198913574)
(-1.1735082864761353, -1.0019794702529907, 2.4089999198913574)
(-1.1693246364593506, -1.0019794702529907, 2.4089999198913574)
(-1.1651409864425659, -1.0019794702529907, 2.4089999198913574)
(-1.1609573364257812, -1.0019794702529907, 2.4089999198913574)
(-1.1567736864089966, -1.0019794702529907, 2.4089999198913574)
(-1.1525901556015015, -1.0019794702529907, 2.4089999198913574)
(-1.156510591506958, -1.0090502500534058, 2.4260001182556152)
(-1.1522974967956543, -1.0090502500534058, 2.4260001182556152)
(-1.148084282875061, -1.0090502500534058, 2.4260001182556152)
(-1.1438711881637573, -1.0090502500534058, 2.4260001182556152)
(-1.1396579742431641, -1.0090502500534058, 2.4260001182556152)
(-1.1354448795318604, -1.0090502500534058, 2.4260001182556152)
(-1.1391587257385254, -1.0161211490631104, 2.4430000782012939)
(-1.1349160671234131, -1.0161211490631104, 2.4430000782012939)
(-1.1306734085083008, -1.0161211490631104, 2.4430000782012939)
(-1.1185922622680664, -1.0090502500534058, 2.4260001182556152)
(-1.1221879720687866, -1.0161211490631104, 2.4430000782012939)
